Time_Seconds,BVP,Stress_Label
0.0,-0.041771155,typical
0.010000333,0.07153125,typical
0.020000666,0.13888536,typical
0.030001,0.19031079,typical
0.040001333,0.2738478,typical
0.050001666,0.3831904,typical
0.060002,0.43785706,typical
0.07000233,0.49330223,typical
0.080002666,0.53305626,typical
0.090003,0.5965617,typical
0.10000333,0.56808573,typical
0.110003665,0.63997126,typical
0.120004,0.7305457,typical
0.13000433,0.7788487,typical
0.14000466,0.8087032,typical
0.150005,0.8614416,typical
0.16000533,0.9090182,typical
0.17000566,0.94370335,typical
0.180006,0.95676327,typical
0.19000633,0.9071101,typical
0.20000666,0.9632831,typical
0.210007,0.96603674,typical
0.22000733,0.99366677,typical
0.23000766,0.9729527,typical
0.240008,0.9505198,typical
0.25000834,0.9446332,typical
0.26000866,0.9376132,typical
0.27000898,0.9488262,typical
0.28000933,0.92562556,typical
0.29000968,0.9518431,typical
0.30001,0.89378417,typical
0.3100103,0.9104496,typical
0.32001066,0.8725945,typical
0.330011,0.7993319,typical
0.34001133,0.7286219,typical
0.35001165,0.7006314,typical
0.360012,0.6960486,typical
0.37001234,0.60025257,typical
0.38001266,0.5115899,typical
0.39001298,0.5376367,typical
0.40001333,0.44907388,typical
0.41001368,0.40816563,typical
0.420014,0.34898522,typical
0.4300143,0.23476176,typical
0.44001466,0.16845436,typical
0.450015,0.13032663,typical
0.46001533,0.094161615,typical
0.47001565,-0.0023352262,typical
0.480016,-0.04952094,typical
0.49001634,-0.13413824,typical
0.5000167,-0.13486768,typical
0.510017,-0.25571612,typical
0.5200173,-0.3191835,typical
0.5300177,-0.41035223,typical
0.54001796,-0.42730707,typical
0.5500183,-0.51475674,typical
0.56001866,-0.5709239,typical
0.570019,-0.63226646,typical
0.58001935,-0.7149257,typical
0.59001964,-0.70805633,typical
0.60002,-0.6866175,typical
0.61002034,-0.77890134,typical
0.6200206,-0.83306056,typical
0.630021,-0.8985854,typical
0.6400213,-0.855255,typical
0.6500217,-0.9141637,typical
0.660022,-0.9633756,typical
0.6700223,-0.969153,typical
0.68002266,-0.97689646,typical
0.690023,-0.98432904,typical
0.7000233,-0.9999682,typical
0.71002364,-0.9882321,typical
0.720024,-0.9854603,typical
0.73002434,-1.0043203,typical
0.7400247,-0.9580376,typical
0.750025,-0.97765714,typical
0.7600253,-0.95189,typical
0.7700257,-0.86504227,typical
0.78002596,-0.92032504,typical
0.7900263,-0.85496265,typical
0.80002666,-0.8290106,typical
0.810027,-0.8010363,typical
0.82002735,-0.79478604,typical
0.83002764,-0.7121285,typical
0.840028,-0.6514799,typical
0.85002834,-0.6382147,typical
0.8600286,-0.53707945,typical
0.870029,-0.50127506,typical
0.8800293,-0.3845256,typical
0.89002967,-0.337435,typical
0.90003,-0.34301206,typical
0.9100303,-0.2748653,typical
0.92003065,-0.20201701,typical
0.930031,-0.14187473,typical
0.9400313,-0.047664378,typical
0.95003164,0.044475794,typical
0.960032,0.10012418,typical
0.97003233,0.16767539,typical
0.9800327,0.21932225,typical
0.990033,0.32764444,typical
1.0000334,0.30201945,typical
1.0100336,0.3114028,typical
1.020034,0.47864777,typical
1.0300343,0.5201409,typical
1.0400347,0.55156,typical
1.050035,0.6426505,typical
1.0600353,0.68703127,typical
1.0700357,0.7342799,typical
1.0800359,0.79811263,typical
1.0900363,0.82356995,typical
1.1000366,0.8350111,typical
1.110037,0.85393816,typical
1.1200373,0.89154327,typical
1.1300377,0.9374738,typical
1.140038,0.9777782,typical
1.1500384,0.97341615,typical
1.1600387,0.97359043,typical
1.1700389,0.97494364,typical
1.1800393,0.9774208,typical
1.1900396,1.0229447,typical
1.20004,0.9837177,typical
1.2100403,0.99585444,typical
1.2200407,0.98815525,typical
1.230041,0.9462454,typical
1.2400413,0.9535079,typical
1.2500416,0.893975,typical
1.260042,0.9080987,typical
1.2700423,0.8370791,typical
1.2800426,0.79718745,typical
1.290043,0.75330025,typical
1.3000433,0.7434197,typical
1.3100437,0.6932815,typical
1.320044,0.62816256,typical
1.3300443,0.614889,typical
1.3400446,0.48961318,typical
1.350045,0.46879157,typical
1.3600453,0.42335817,typical
1.3700457,0.3540574,typical
1.380046,0.24910462,typical
1.3900464,0.15708852,typical
1.4000466,0.1969381,typical
1.4100469,0.110461995,typical
1.4200473,0.04004367,typical
1.4300476,-0.034679983,typical
1.440048,-0.09597757,typical
1.4500483,-0.18504894,typical
