Time_Seconds,ECG,Stress_Label
0.0,0.12705684,typical
0.010000333,0.1897775,typical
0.020000666,0.08624558,typical
0.030001,0.23258755,typical
0.040001333,0.24555299,typical
0.050001666,0.17280002,typical
0.060002,0.35966325,typical
0.07000233,0.46557474,typical
0.080002666,0.47902477,typical
0.090003,0.53240037,typical
0.10000333,0.6507664,typical
0.110003665,0.44853455,typical
0.120004,0.35833684,typical
0.13000433,0.28637314,typical
0.14000466,0.23618585,typical
0.150005,0.22466847,typical
0.16000533,0.23460329,typical
0.17000566,0.20477746,typical
0.180006,0.2555833,typical
0.19000633,0.2975898,typical
0.20000666,0.17682365,typical
0.210007,0.28104094,typical
0.22000733,0.30680642,typical
0.23000766,0.19901629,typical
0.240008,0.14909706,typical
0.25000834,0.1268079,typical
0.26000866,0.1720168,typical
0.27000898,0.16015828,typical
0.28000933,0.21125737,typical
0.29000968,0.35768414,typical
0.30001,0.19516768,typical
0.3100103,0.27759886,typical
0.32001066,0.19807026,typical
0.330011,0.268226,typical
0.34001133,0.19686425,typical
0.35001165,0.16243371,typical
0.360012,0.17476329,typical
0.37001234,0.14199804,typical
0.38001266,0.16482392,typical
0.39001298,0.2267297,typical
0.40001333,0.16413921,typical
0.41001368,0.26573122,typical
0.420014,0.17882061,typical
0.4300143,0.19926096,typical
0.44001466,0.1689594,typical
0.450015,0.25073278,typical
0.46001533,0.29692024,typical
0.47001565,0.0762134,typical
0.480016,0.17736398,typical
0.49001634,0.1747219,typical
0.5000167,0.09947259,typical
0.510017,0.17893583,typical
0.5200173,0.20772141,typical
0.5300177,0.20472382,typical
0.54001796,0.18763399,typical
0.5500183,0.18703535,typical
0.56001866,0.24403508,typical
0.570019,0.2430986,typical
0.58001935,0.2201212,typical
0.59001964,0.14535485,typical
0.60002,0.16073908,typical
0.61002034,0.21546897,typical
0.6200206,0.15798298,typical
0.630021,0.14880154,typical
0.6400213,0.099426314,typical
0.6500217,0.15281972,typical
0.660022,0.16367082,typical
0.6700223,0.22982979,typical
0.68002266,0.30786413,typical
0.690023,0.337447,typical
0.7000233,0.21928827,typical
0.71002364,0.23208475,typical
0.720024,0.19903247,typical
0.73002434,0.21045527,typical
0.7400247,0.15474904,typical
0.750025,0.086965345,typical
0.7600253,0.22364765,typical
