Time_Seconds,SpO2,Stress_Label
0.0,98.4432,typical
0.010000333,98.530014,typical
0.020000666,98.569626,typical
0.030001,98.47289,typical
0.040001333,98.50703,typical
0.050001666,98.37551,typical
0.060002,98.46846,typical
0.07000233,98.45732,typical
0.080002666,98.52684,typical
0.090003,98.628914,typical
0.10000333,98.397095,typical
0.110003665,98.501305,typical
0.120004,98.3444,typical
0.13000433,98.40832,typical
0.14000466,98.41222,typical
0.150005,98.56653,typical
0.16000533,98.52648,typical
0.17000566,98.472694,typical
0.180006,98.60557,typical
0.19000633,98.51062,typical
0.20000666,98.45288,typical
0.210007,98.39675,typical
0.22000733,98.36161,typical
0.23000766,98.67543,typical
0.240008,98.561264,typical
0.25000834,98.55678,typical
0.26000866,98.54561,typical
0.27000898,98.43717,typical
0.28000933,98.33505,typical
0.29000968,98.438126,typical
0.30001,98.25307,typical
0.3100103,98.52581,typical
0.32001066,98.159966,typical
0.330011,97.73829,typical
0.34001133,97.43758,typical
0.35001165,97.533035,typical
0.360012,97.713615,typical
0.37001234,98.059395,typical
0.38001266,98.53961,typical
0.39001298,98.66424,typical
0.40001333,98.537766,typical
0.41001368,98.536125,typical
0.420014,98.45231,typical
0.4300143,98.6078,typical
0.44001466,98.626564,typical
0.450015,98.47966,typical
0.46001533,98.41138,typical
0.47001565,98.52781,typical
0.480016,98.360794,typical
0.49001634,98.54185,typical
0.5000167,98.54883,typical
0.510017,98.495605,typical
0.5200173,98.50915,typical
0.5300177,98.48429,typical
0.54001796,98.533134,typical
0.5500183,98.46822,typical
0.56001866,98.511765,typical
0.570019,98.345345,typical
0.58001935,98.45342,typical
0.59001964,98.538345,typical
0.60002,98.52174,typical
0.61002034,98.4857,typical
0.6200206,98.4757,typical
0.630021,98.73789,typical
0.6400213,98.50499,typical
0.6500217,98.56594,typical
0.660022,98.47163,typical
0.6700223,98.468315,typical
0.68002266,98.37515,typical
0.690023,98.402176,typical
0.7000233,98.409546,typical
0.71002364,98.55538,typical
0.720024,98.48436,typical
0.73002434,98.669304,typical
0.7400247,98.47766,typical
0.750025,98.591484,typical
